108,  0.41797 0.011230 -0.044434 0.993652 -0.875000 2.937500 -0.125000 0.202148 0.038574 -0.446289;
109,  0.42188 0.007324 -0.056152 1.009277 -1.062500 3.187500 0.000000 0.212402 0.043457 -0.446289;
110,  0.42578 -0.003906 -0.036621 0.993652 -0.875000 3.000000 0.000000 0.212402 0.043457 -0.446289;
111,  0.42969 0.011230 -0.071777 1.028320 -1.000000 3.000000 0.562500 0.212402 0.043457 -0.446289;
112,  0.43359 0.011230 -0.063965 1.009277 -1.250000 3.000000 0.437500 0.212402 0.043457 -0.446289;
113,  0.43750 0.022949 -0.056152 1.009277 -0.875000 3.125000 0.875000 0.212402 0.043457 -0.446289;
114,  0.44141 0.007324 -0.048340 1.001465 -0.500000 2.875000 0.937500 0.212402 0.043457 -0.446289;
115,  0.44531 0.022949 -0.071777 1.005371 -0.062500 2.937500 1.125000 0.212402 0.043457 -0.446289;
116,  0.44922 0.019043 -0.063965 0.981934 0.250000 2.937500 1.187500 0.207519 0.038574 -0.453613;
117,  0.45312 0.019043 -0.071777 0.981934 -0.125000 3.125000 1.500000 0.207519 0.038574 -0.453613;
118,  0.45703 0.019043 -0.060059 1.012695 -0.437500 3.125000 1.437500 0.207519 0.038574 -0.453613;
119,  0.46094 0.015137 -0.052246 0.978027 -0.875000 3.625000 1.812500 0.207519 0.038574 -0.448730;
120,  0.46484 0.022949 -0.063965 0.974121 -0.437500 3.562500 1.937500 0.207519 0.038574 -0.448730;
121,  0.46875 0.022949 -0.044434 1.005371 -0.187500 4.125000 1.812500 0.207519 0.038574 -0.448730;
122,  0.47266 0.000000 -0.060059 1.001465 0.187500 4.250000 1.687500 0.207519 0.038574 -0.448730;
123,  0.47656 0.011230 -0.067871 1.005371 -0.062500 4.375000 1.562500 0.209961 0.033691 -0.446289;
124,  0.48047 0.011230 -0.071777 0.978027 -0.375000 4.312500 1.875000 0.209961 0.033691 -0.446289;
125,  0.48438 0.026855 -0.063965 0.985840 -0.937500 4.312500 2.000000 0.209961 0.033691 -0.446289;
126,  0.48828 0.015137 -0.052246 0.970703 -1.437500 4.312500 1.750000 0.212402 0.033691 -0.438477;
127,  0.49219 0.003418 -0.060059 0.981934 -1.312500 3.625000 1.312500 0.212402 0.033691 -0.438477;
128,  0.49609 0.019043 -0.060059 0.989746 -1.187500 3.250000 0.687500 0.212402 0.033691 -0.438477;
129,  0.50000 0.022949 -0.052246 0.974121 -0.562500 2.687500 0.187500 0.205078 0.031250 -0.441406;
130,  0.50391 0.007324 -0.067871 1.001465 -0.625000 2.250000 -0.062500 0.205078 0.031250 -0.441406;
131,  0.50781 -0.007812 -0.071777 1.005371 -0.562500 2.250000 -0.250000 0.205078 0.031250 -0.441406;
132,  0.51172 0.003418 -0.056152 1.016602 -0.875000 2.437500 -0.375000 0.205078 0.031250 -0.441406;
133,  0.51562 0.019043 -0.052246 1.009277 -0.937500 2.875000 -0.500000 0.212402 0.038574 -0.456543;
134,  0.51953 0.019043 -0.052246 1.020508 -0.562500 2.937500 -0.312500 0.212402 0.038574 -0.456543;
135,  0.52344 0.019043 -0.060059 1.005371 -0.500000 3.250000 -0.312500 0.212402 0.038574 -0.456543;
136,  0.52734 0.007324 -0.060059 1.020508 -0.250000 3.437500 -0.437500 0.207519 0.041016 -0.446289;
137,  0.53125 -0.031738 -0.056152 0.985840 -0.125000 3.937500 -0.250000 0.207519 0.041016 -0.446289;
138,  0.53516 -0.007812 -0.083496 1.009277 -0.500000 4.000000 -0.125000 0.207519 0.041016 -0.446289;
139,  0.53906 0.000000 -0.048340 1.020508 -0.937500 3.812500 -0.375000 0.207519 0.041016 -0.446289;
140,  0.54297 0.007324 -0.036621 0.997559 -1.000000 4.000000 -0.375000 0.207519 0.041016 -0.446289;
141,  0.54688 0.000000 -0.067871 1.009277 -0.937500 3.875000 0.000000 0.207519 0.041016 -0.446289;
142,  0.55078 0.019043 -0.052246 1.001465 -1.187500 3.937500 0.000000 0.207519 0.041016 -0.446289;
143,  0.55469 0.011230 -0.067871 1.012695 -1.500000 4.375000 0.375000 0.207519 0.028809 -0.443848;
144,  0.55859 0.019043 -0.052246 1.009277 -1.562500 4.000000 0.875000 0.207519 0.028809 -0.443848;
145,  0.56250 0.007324 -0.067871 1.009277 -1.562500 4.062500 1.000000 0.207519 0.028809 -0.443848;
146,  0.56641 0.000000 -0.052246 0.978027 -1.562500 3.625000 1.062500 0.214844 0.036133 -0.446289;
147,  0.57031 0.007324 -0.060059 0.981934 -1.625000 3.062500 1.562500 0.214844 0.036133 -0.446289;
148,  0.57422 0.015137 -0.040527 0.989746 -1.625000 2.812500 1.437500 0.214844 0.036133 -0.446289;
149,  0.57812 0.019043 -0.060059 0.993652 -1.875000 2.812500 1.562500 0.214844 0.036133 -0.446289;
150,  0.58203 0.007324 -0.044434 0.989746 -1.187500 2.312500 1.500000 0.217773 0.036133 -0.441406;
151,  0.58594 -0.007812 -0.044434 1.005371 -0.562500 2.062500 1.250000 0.217773 0.036133 -0.441406;
152,  0.58984 -0.012207 -0.044434 1.005371 0.000000 2.000000 1.187500 0.217773 0.036133 -0.441406;
153,  0.59375 0.003418 -0.060059 0.985840 0.375000 2.062500 0.937500 0.214844 0.041016 -0.441406;
154,  0.59766 -0.016113 -0.063965 1.005371 0.250000 2.187500 1.000000 0.214844 0.041016 -0.441406;
155,  0.60156 0.003418 -0.048340 1.001465 -0.187500 2.500000 0.687500 0.214844 0.041016 -0.441406;
156,  0.60547 0.007324 -0.052246 0.985840 0.000000 2.687500 0.062500 0.214844 0.041016 -0.441406;
157,  0.60938 0.019043 -0.056152 0.989746 0.000000 3.187500 0.000000 0.214844 0.041016 -0.441406;
158,  0.61328 0.000000 -0.044434 1.009277 0.187500 3.500000 -0.437500 0.214844 0.041016 -0.441406;
